═══════════════════════════════════════════════════════════════
  分析统计信息
═══════════════════════════════════════════════════════════════
分析类数量: 10163
分析方法数量: 95812
调用图节点数: 27764
调用图边数: 264174
═══════════════════════════════════════════════════════════════

╔══════════════════════════════════════════════════════════════╗
║  Sink #1: lookup                                             ║
║  找到链条...                                                     ║
╚══════════════════════════════════════════════════════════════╝

<javax.naming.InitialContext: java.lang.Object lookup(javax.naming.Name)>

--- 链 486 ---
<java.net.SocketPermissionCollection: void readObject(java.io.ObjectInputStream)>->[-1, -1]
<com.vaadin.server.AbstractClientConnector$RpcInvocationHandler: java.lang.Object invoke(java.lang.Object,java.lang.reflect.Method,java.lang.Object[])>->[-1, -1]
<com.vaadin.ui.declarative.DesignAttributeHandler: java.lang.String toAttributeValue(java.lang.Class,java.lang.Object)>->[-1, -1]
<com.vaadin.ui.AbstractField: java.lang.String toString()>->[-1, -1]
<com.vaadin.data.util.LegacyPropertyHelper: java.lang.String legacyPropertyToString(com.vaadin.data.Property)>->[-1, -1]
<com.vaadin.data.util.MethodProperty: java.lang.Object getValue()>->[-1, -1]
<com.vaadin.ui.declarative.Design: com.vaadin.ui.declarative.DesignContext designToComponentTree(org.jsoup.nodes.Document,com.vaadin.ui.Component,java.lang.Class)>->[-1, -1]
<com.vaadin.ui.declarative.DesignContext: void readDesign(org.jsoup.nodes.Element,com.vaadin.ui.Component)>->[-1, -1]
<com.vaadin.ui.Flash: void readDesign(org.jsoup.nodes.Element,com.vaadin.ui.declarative.DesignContext)>->[-1, -1]
<com.vaadin.ui.AbstractEmbedded: void readDesign(org.jsoup.nodes.Element,com.vaadin.ui.declarative.DesignContext)>->[-1, -1]
<com.vaadin.ui.AbstractComponent: void readDesign(org.jsoup.nodes.Element,com.vaadin.ui.declarative.DesignContext)>->[-1, -1]
<com.vaadin.ui.declarative.DesignAttributeHandler: boolean assignValue(java.lang.Object,java.lang.String,java.lang.String)>->[-1, -1]
<javax.naming.InitialContext: java.lang.Object lookup(javax.naming.Name)>

--- 链 487 ---
<java.io.FilePermissionCollection: void readObject(java.io.ObjectInputStream)>->[-1, -1]
<com.vaadin.server.AbstractClientConnector$RpcInvocationHandler: java.lang.Object invoke(java.lang.Object,java.lang.reflect.Method,java.lang.Object[])>->[-1, -1]
<com.vaadin.server.JsonCodec: java.lang.Object decodeCustomType(java.lang.reflect.Type,elemental.json.JsonValue,com.vaadin.ui.ConnectorTracker)>->[-1, -1]
<com.vaadin.server.JsonCodec: java.lang.Object decodeObject(java.lang.reflect.Type,elemental.json.JsonObject,com.vaadin.ui.ConnectorTracker)>->[-1, -1]
<com.vaadin.server.JsonCodec$MethodProperty: void setValue(java.lang.Object,java.lang.Object)>->[-1, -1]
<com.vaadin.ui.declarative.DesignAttributeHandler: void writeAttribute(java.lang.Object,java.lang.String,org.jsoup.nodes.Attributes,java.lang.Object)>->[-1, -1]
<com.vaadin.ui.declarative.Design: com.vaadin.ui.declarative.DesignContext designToComponentTree(org.jsoup.nodes.Document,com.vaadin.ui.Component,java.lang.Class)>->[-1, -1]
<com.vaadin.ui.declarative.DesignContext: void readDesign(org.jsoup.nodes.Element,com.vaadin.ui.Component)>->[-1, -1]
<com.vaadin.ui.Flash: void readDesign(org.jsoup.nodes.Element,com.vaadin.ui.declarative.DesignContext)>->[-1, -1]
<com.vaadin.ui.AbstractEmbedded: void readDesign(org.jsoup.nodes.Element,com.vaadin.ui.declarative.DesignContext)>->[-1, -1]
<com.vaadin.ui.AbstractComponent: void readDesign(org.jsoup.nodes.Element,com.vaadin.ui.declarative.DesignContext)>->[-1, -1]
<com.vaadin.ui.declarative.DesignAttributeHandler: boolean assignValue(java.lang.Object,java.lang.String,java.lang.String)>->[-1, -1]
<javax.naming.InitialContext: java.lang.Object lookup(javax.naming.Name)>

--- 链 488 ---
<java.net.SocketPermissionCollection: void readObject(java.io.ObjectInputStream)>->[-1, -1]
<com.vaadin.server.AbstractClientConnector$RpcInvocationHandler: java.lang.Object invoke(java.lang.Object,java.lang.reflect.Method,java.lang.Object[])>->[-1, -1]
<com.vaadin.server.JsonCodec: java.lang.Object decodeCustomType(java.lang.reflect.Type,elemental.json.JsonValue,com.vaadin.ui.ConnectorTracker)>->[-1, -1]
<com.vaadin.server.JsonCodec: java.lang.Object decodeObject(java.lang.reflect.Type,elemental.json.JsonObject,com.vaadin.ui.ConnectorTracker)>->[-1, -1]
<com.vaadin.server.JsonCodec$MethodProperty: void setValue(java.lang.Object,java.lang.Object)>->[-1, -1]
<com.vaadin.ui.declarative.DesignAttributeHandler: void writeAttribute(java.lang.Object,java.lang.String,org.jsoup.nodes.Attributes,java.lang.Object)>->[-1, -1]
<com.vaadin.ui.declarative.Design: com.vaadin.ui.declarative.DesignContext designToComponentTree(org.jsoup.nodes.Document,com.vaadin.ui.Component,java.lang.Class)>->[-1, -1]
<com.vaadin.ui.declarative.DesignContext: void readDesign(org.jsoup.nodes.Element,com.vaadin.ui.Component)>->[-1, -1]
<com.vaadin.ui.Flash: void readDesign(org.jsoup.nodes.Element,com.vaadin.ui.declarative.DesignContext)>->[-1, -1]
<com.vaadin.ui.AbstractEmbedded: void readDesign(org.jsoup.nodes.Element,com.vaadin.ui.declarative.DesignContext)>->[-1, -1]
<com.vaadin.ui.AbstractComponent: void readDesign(org.jsoup.nodes.Element,com.vaadin.ui.declarative.DesignContext)>->[-1, -1]
<com.vaadin.ui.declarative.DesignAttributeHandler: boolean assignValue(java.lang.Object,java.lang.String,java.lang.String)>->[-1, -1]
<javax.naming.InitialContext: java.lang.Object lookup(javax.naming.Name)>

--- 链 489 ---
<java.beans.VetoableChangeSupport: void readObject(java.io.ObjectInputStream)>->[-1, -1]
<com.vaadin.server.AbstractClientConnector$RpcInvocationHandler: java.lang.Object invoke(java.lang.Object,java.lang.reflect.Method,java.lang.Object[])>->[-1, -1]
<com.vaadin.ui.declarative.DesignAttributeHandler: void writeAttribute(java.lang.Object,java.lang.String,org.jsoup.nodes.Attributes,java.lang.Object)>->[-1, -1]
<com.vaadin.ui.UI: java.lang.String getSessionDetails(com.vaadin.server.VaadinSession)>->[-1, -1]
<com.vaadin.ui.AbstractField: java.lang.String toString()>->[-1, -1]
<com.vaadin.data.util.LegacyPropertyHelper: java.lang.String legacyPropertyToString(com.vaadin.data.Property)>->[-1, -1]
<com.vaadin.data.util.MethodProperty: java.lang.Object getValue()>->[-1, -1]
<com.vaadin.ui.declarative.Design: com.vaadin.ui.declarative.DesignContext designToComponentTree(org.jsoup.nodes.Document,com.vaadin.ui.Component,java.lang.Class)>->[-1, -1]
<com.vaadin.ui.declarative.DesignContext: void readDesign(org.jsoup.nodes.Element,com.vaadin.ui.Component)>->[-1, -1]
<com.vaadin.ui.AbstractEmbedded: void readDesign(org.jsoup.nodes.Element,com.vaadin.ui.declarative.DesignContext)>->[-1, -1]
<com.vaadin.ui.AbstractComponent: void readDesign(org.jsoup.nodes.Element,com.vaadin.ui.declarative.DesignContext)>->[-1, -1]
<com.vaadin.ui.declarative.DesignAttributeHandler: boolean assignValue(java.lang.Object,java.lang.String,java.lang.String)>->[-1, -1]
<javax.naming.InitialContext: java.lang.Object lookup(javax.naming.Name)>

--- 链 490 ---
<sun.reflect.'annotation'.AnnotationInvocationHandler: void readObject(java.io.ObjectInputStream)>->[-1, -1]
<com.vaadin.server.AbstractClientConnector$RpcInvocationHandler: java.lang.Object invoke(java.lang.Object,java.lang.reflect.Method,java.lang.Object[])>->[-1, -1]
<com.vaadin.ui.declarative.DesignAttributeHandler: void writeAttribute(java.lang.Object,java.lang.String,org.jsoup.nodes.Attributes,java.lang.Object)>->[-1, -1]
<com.vaadin.ui.UI: java.lang.String getSessionDetails(com.vaadin.server.VaadinSession)>->[-1, -1]
<com.vaadin.ui.AbstractField: java.lang.String toString()>->[-1, -1]
<com.vaadin.data.util.LegacyPropertyHelper: java.lang.String legacyPropertyToString(com.vaadin.data.Property)>->[-1, -1]
<com.vaadin.data.util.MethodProperty: java.lang.Object getValue()>->[-1, -1]
<com.vaadin.ui.declarative.Design: com.vaadin.ui.declarative.DesignContext designToComponentTree(org.jsoup.nodes.Document,com.vaadin.ui.Component,java.lang.Class)>->[-1, -1]
<com.vaadin.ui.declarative.DesignContext: void readDesign(org.jsoup.nodes.Element,com.vaadin.ui.Component)>->[-1, -1]
<com.vaadin.ui.AbstractEmbedded: void readDesign(org.jsoup.nodes.Element,com.vaadin.ui.declarative.DesignContext)>->[-1, -1]
<com.vaadin.ui.AbstractComponent: void readDesign(org.jsoup.nodes.Element,com.vaadin.ui.declarative.DesignContext)>->[-1, -1]
<com.vaadin.ui.declarative.DesignAttributeHandler: boolean assignValue(java.lang.Object,java.lang.String,java.lang.String)>->[-1, -1]
<javax.naming.InitialContext: java.lang.Object lookup(javax.naming.Name)>

--- 链 491 ---
<com.sun.org.apache.xalan.internal.xsltc.dom.BitArray: void readExternal(java.io.ObjectInput)>->[-1, -1]
<com.vaadin.server.AbstractClientConnector$RpcInvocationHandler: java.lang.Object invoke(java.lang.Object,java.lang.reflect.Method,java.lang.Object[])>->[-1, -1]
<com.vaadin.ui.declarative.DesignAttributeHandler: void writeAttribute(java.lang.Object,java.lang.String,org.jsoup.nodes.Attributes,java.lang.Object)>->[-1, -1]
<com.vaadin.ui.UI: java.lang.String getSessionDetails(com.vaadin.server.VaadinSession)>->[-1, -1]
<com.vaadin.ui.AbstractField: java.lang.String toString()>->[-1, -1]
<com.vaadin.data.util.LegacyPropertyHelper: java.lang.String legacyPropertyToString(com.vaadin.data.Property)>->[-1, -1]
<com.vaadin.data.util.MethodProperty: java.lang.Object getValue()>->[-1, -1]
<com.vaadin.ui.declarative.Design: com.vaadin.ui.declarative.DesignContext designToComponentTree(org.jsoup.nodes.Document,com.vaadin.ui.Component,java.lang.Class)>->[-1, -1]
<com.vaadin.ui.declarative.DesignContext: void readDesign(org.jsoup.nodes.Element,com.vaadin.ui.Component)>->[-1, -1]
<com.vaadin.ui.AbstractEmbedded: void readDesign(org.jsoup.nodes.Element,com.vaadin.ui.declarative.DesignContext)>->[-1, -1]
<com.vaadin.ui.AbstractComponent: void readDesign(org.jsoup.nodes.Element,com.vaadin.ui.declarative.DesignContext)>->[-1, -1]
<com.vaadin.ui.declarative.DesignAttributeHandler: boolean assignValue(java.lang.Object,java.lang.String,java.lang.String)>->[-1, -1]
<javax.naming.InitialContext: java.lang.Object lookup(javax.naming.Name)>

--- 链 492 ---
<java.beans.PropertyChangeSupport: void readObject(java.io.ObjectInputStream)>->[-1, -1]
<com.vaadin.server.AbstractClientConnector$RpcInvocationHandler: java.lang.Object invoke(java.lang.Object,java.lang.reflect.Method,java.lang.Object[])>->[-1, -1]
<com.vaadin.ui.declarative.DesignAttributeHandler: void writeAttribute(java.lang.Object,java.lang.String,org.jsoup.nodes.Attributes,java.lang.Object)>->[-1, -1]
<com.vaadin.ui.UI: java.lang.String getSessionDetails(com.vaadin.server.VaadinSession)>->[-1, -1]
<com.vaadin.ui.AbstractField: java.lang.String toString()>->[-1, -1]
<com.vaadin.data.util.LegacyPropertyHelper: java.lang.String legacyPropertyToString(com.vaadin.data.Property)>->[-1, -1]
<com.vaadin.data.util.MethodProperty: java.lang.Object getValue()>->[-1, -1]
<com.vaadin.ui.declarative.Design: com.vaadin.ui.declarative.DesignContext designToComponentTree(org.jsoup.nodes.Document,com.vaadin.ui.Component,java.lang.Class)>->[-1, -1]
<com.vaadin.ui.declarative.DesignContext: void readDesign(org.jsoup.nodes.Element,com.vaadin.ui.Component)>->[-1, -1]
<com.vaadin.ui.AbstractEmbedded: void readDesign(org.jsoup.nodes.Element,com.vaadin.ui.declarative.DesignContext)>->[-1, -1]
<com.vaadin.ui.AbstractComponent: void readDesign(org.jsoup.nodes.Element,com.vaadin.ui.declarative.DesignContext)>->[-1, -1]
<com.vaadin.ui.declarative.DesignAttributeHandler: boolean assignValue(java.lang.Object,java.lang.String,java.lang.String)>->[-1, -1]
<javax.naming.InitialContext: java.lang.Object lookup(javax.naming.Name)>

--- 链 493 ---
<java.lang.Throwable: void readObject(java.io.ObjectInputStream)>->[-1, -1]
<com.vaadin.server.AbstractClientConnector$RpcInvocationHandler: java.lang.Object invoke(java.lang.Object,java.lang.reflect.Method,java.lang.Object[])>->[-1, -1]
<com.vaadin.ui.declarative.DesignAttributeHandler: void writeAttribute(java.lang.Object,java.lang.String,org.jsoup.nodes.Attributes,java.lang.Object)>->[-1, -1]
<com.vaadin.ui.UI: java.lang.String getSessionDetails(com.vaadin.server.VaadinSession)>->[-1, -1]
<com.vaadin.ui.AbstractField: java.lang.String toString()>->[-1, -1]
<com.vaadin.data.util.LegacyPropertyHelper: java.lang.String legacyPropertyToString(com.vaadin.data.Property)>->[-1, -1]
<com.vaadin.data.util.MethodProperty: java.lang.Object getValue()>->[-1, -1]
<com.vaadin.ui.declarative.Design: com.vaadin.ui.declarative.DesignContext designToComponentTree(org.jsoup.nodes.Document,com.vaadin.ui.Component,java.lang.Class)>->[-1, -1]
<com.vaadin.ui.declarative.DesignContext: void readDesign(org.jsoup.nodes.Element,com.vaadin.ui.Component)>->[-1, -1]
<com.vaadin.ui.AbstractEmbedded: void readDesign(org.jsoup.nodes.Element,com.vaadin.ui.declarative.DesignContext)>->[-1, -1]
<com.vaadin.ui.AbstractComponent: void readDesign(org.jsoup.nodes.Element,com.vaadin.ui.declarative.DesignContext)>->[-1, -1]
<com.vaadin.ui.declarative.DesignAttributeHandler: boolean assignValue(java.lang.Object,java.lang.String,java.lang.String)>->[-1, -1]
<javax.naming.InitialContext: java.lang.Object lookup(javax.naming.Name)>

--- 链 494 ---
<java.time.chrono.Ser: void readExternal(java.io.ObjectInput)>->[-1, -1]
<com.vaadin.server.AbstractClientConnector$RpcInvocationHandler: java.lang.Object invoke(java.lang.Object,java.lang.reflect.Method,java.lang.Object[])>->[-1, -1]
<com.vaadin.ui.declarative.DesignAttributeHandler: void writeAttribute(java.lang.Object,java.lang.String,org.jsoup.nodes.Attributes,java.lang.Object)>->[-1, -1]
<com.vaadin.ui.UI: java.lang.String getSessionDetails(com.vaadin.server.VaadinSession)>->[-1, -1]
<com.vaadin.ui.AbstractField: java.lang.String toString()>->[-1, -1]
<com.vaadin.data.util.LegacyPropertyHelper: java.lang.String legacyPropertyToString(com.vaadin.data.Property)>->[-1, -1]
<com.vaadin.data.util.MethodProperty: java.lang.Object getValue()>->[-1, -1]
<com.vaadin.ui.declarative.Design: com.vaadin.ui.declarative.DesignContext designToComponentTree(org.jsoup.nodes.Document,com.vaadin.ui.Component,java.lang.Class)>->[-1, -1]
<com.vaadin.ui.declarative.DesignContext: void readDesign(org.jsoup.nodes.Element,com.vaadin.ui.Component)>->[-1, -1]
<com.vaadin.ui.AbstractEmbedded: void readDesign(org.jsoup.nodes.Element,com.vaadin.ui.declarative.DesignContext)>->[-1, -1]
<com.vaadin.ui.AbstractComponent: void readDesign(org.jsoup.nodes.Element,com.vaadin.ui.declarative.DesignContext)>->[-1, -1]
<com.vaadin.ui.declarative.DesignAttributeHandler: boolean assignValue(java.lang.Object,java.lang.String,java.lang.String)>->[-1, -1]
<javax.naming.InitialContext: java.lang.Object lookup(javax.naming.Name)>

--- 链 495 ---
<com.vaadin.ui.ConnectorTracker: void readObject(java.io.ObjectInputStream)>->[-1, -1]
<com.vaadin.server.AbstractClientConnector$RpcInvocationHandler: java.lang.Object invoke(java.lang.Object,java.lang.reflect.Method,java.lang.Object[])>->[-1, -1]
<com.vaadin.ui.declarative.DesignAttributeHandler: void writeAttribute(java.lang.Object,java.lang.String,org.jsoup.nodes.Attributes,java.lang.Object)>->[-1, -1]
<com.vaadin.ui.UI: java.lang.String getSessionDetails(com.vaadin.server.VaadinSession)>->[-1, -1]
<com.vaadin.ui.AbstractField: java.lang.String toString()>->[-1, -1]
<com.vaadin.data.util.LegacyPropertyHelper: java.lang.String legacyPropertyToString(com.vaadin.data.Property)>->[-1, -1]
<com.vaadin.data.util.MethodProperty: java.lang.Object getValue()>->[-1, -1]
<com.vaadin.ui.declarative.Design: com.vaadin.ui.declarative.DesignContext designToComponentTree(org.jsoup.nodes.Document,com.vaadin.ui.Component,java.lang.Class)>->[-1, -1]
<com.vaadin.ui.declarative.DesignContext: void readDesign(org.jsoup.nodes.Element,com.vaadin.ui.Component)>->[-1, -1]
<com.vaadin.ui.AbstractEmbedded: void readDesign(org.jsoup.nodes.Element,com.vaadin.ui.declarative.DesignContext)>->[-1, -1]
<com.vaadin.ui.AbstractComponent: void readDesign(org.jsoup.nodes.Element,com.vaadin.ui.declarative.DesignContext)>->[-1, -1]
<com.vaadin.ui.declarative.DesignAttributeHandler: boolean assignValue(java.lang.Object,java.lang.String,java.lang.String)>->[-1, -1]
<javax.naming.InitialContext: java.lang.Object lookup(javax.naming.Name)>

--- 链 496 ---
<java.time.Ser: void readExternal(java.io.ObjectInput)>->[-1, -1]
<com.vaadin.server.AbstractClientConnector$RpcInvocationHandler: java.lang.Object invoke(java.lang.Object,java.lang.reflect.Method,java.lang.Object[])>->[-1, -1]
<com.vaadin.ui.declarative.DesignAttributeHandler: void writeAttribute(java.lang.Object,java.lang.String,org.jsoup.nodes.Attributes,java.lang.Object)>->[-1, -1]
<com.vaadin.ui.UI: java.lang.String getSessionDetails(com.vaadin.server.VaadinSession)>->[-1, -1]
<com.vaadin.ui.AbstractField: java.lang.String toString()>->[-1, -1]
<com.vaadin.data.util.LegacyPropertyHelper: java.lang.String legacyPropertyToString(com.vaadin.data.Property)>->[-1, -1]
<com.vaadin.data.util.MethodProperty: java.lang.Object getValue()>->[-1, -1]
<com.vaadin.ui.declarative.Design: com.vaadin.ui.declarative.DesignContext designToComponentTree(org.jsoup.nodes.Document,com.vaadin.ui.Component,java.lang.Class)>->[-1, -1]
<com.vaadin.ui.declarative.DesignContext: void readDesign(org.jsoup.nodes.Element,com.vaadin.ui.Component)>->[-1, -1]
<com.vaadin.ui.AbstractEmbedded: void readDesign(org.jsoup.nodes.Element,com.vaadin.ui.declarative.DesignContext)>->[-1, -1]
<com.vaadin.ui.AbstractComponent: void readDesign(org.jsoup.nodes.Element,com.vaadin.ui.declarative.DesignContext)>->[-1, -1]
<com.vaadin.ui.declarative.DesignAttributeHandler: boolean assignValue(java.lang.Object,java.lang.String,java.lang.String)>->[-1, -1]
<javax.naming.InitialContext: java.lang.Object lookup(javax.naming.Name)>

--- 链 497 ---
<java.util.Collections$SetFromMap: void readObject(java.io.ObjectInputStream)>->[-1, -1]
<com.vaadin.server.AbstractClientConnector$RpcInvocationHandler: java.lang.Object invoke(java.lang.Object,java.lang.reflect.Method,java.lang.Object[])>->[-1, -1]
<com.vaadin.ui.declarative.DesignAttributeHandler: void writeAttribute(java.lang.Object,java.lang.String,org.jsoup.nodes.Attributes,java.lang.Object)>->[-1, -1]
<com.vaadin.ui.UI: java.lang.String getSessionDetails(com.vaadin.server.VaadinSession)>->[-1, -1]
<com.vaadin.ui.AbstractField: java.lang.String toString()>->[-1, -1]
<com.vaadin.data.util.LegacyPropertyHelper: java.lang.String legacyPropertyToString(com.vaadin.data.Property)>->[-1, -1]
<com.vaadin.data.util.MethodProperty: java.lang.Object getValue()>->[-1, -1]
<com.vaadin.ui.declarative.Design: com.vaadin.ui.declarative.DesignContext designToComponentTree(org.jsoup.nodes.Document,com.vaadin.ui.Component,java.lang.Class)>->[-1, -1]
<com.vaadin.ui.declarative.DesignContext: void readDesign(org.jsoup.nodes.Element,com.vaadin.ui.Component)>->[-1, -1]
<com.vaadin.ui.AbstractEmbedded: void readDesign(org.jsoup.nodes.Element,com.vaadin.ui.declarative.DesignContext)>->[-1, -1]
<com.vaadin.ui.AbstractComponent: void readDesign(org.jsoup.nodes.Element,com.vaadin.ui.declarative.DesignContext)>->[-1, -1]
<com.vaadin.ui.declarative.DesignAttributeHandler: boolean assignValue(java.lang.Object,java.lang.String,java.lang.String)>->[-1, -1]
<javax.naming.InitialContext: java.lang.Object lookup(javax.naming.Name)>

--- 链 498 ---
<java.util.PropertyPermissionCollection: void readObject(java.io.ObjectInputStream)>->[-1, -1]
<com.vaadin.server.AbstractClientConnector$RpcInvocationHandler: java.lang.Object invoke(java.lang.Object,java.lang.reflect.Method,java.lang.Object[])>->[-1, -1]
<com.vaadin.ui.declarative.DesignAttributeHandler: void writeAttribute(java.lang.Object,java.lang.String,org.jsoup.nodes.Attributes,java.lang.Object)>->[-1, -1]
<com.vaadin.ui.UI: java.lang.String getSessionDetails(com.vaadin.server.VaadinSession)>->[-1, -1]
<com.vaadin.ui.AbstractField: java.lang.String toString()>->[-1, -1]
<com.vaadin.data.util.LegacyPropertyHelper: java.lang.String legacyPropertyToString(com.vaadin.data.Property)>->[-1, -1]
<com.vaadin.data.util.MethodProperty: java.lang.Object getValue()>->[-1, -1]
<com.vaadin.ui.declarative.Design: com.vaadin.ui.declarative.DesignContext designToComponentTree(org.jsoup.nodes.Document,com.vaadin.ui.Component,java.lang.Class)>->[-1, -1]
<com.vaadin.ui.declarative.DesignContext: void readDesign(org.jsoup.nodes.Element,com.vaadin.ui.Component)>->[-1, -1]
<com.vaadin.ui.AbstractEmbedded: void readDesign(org.jsoup.nodes.Element,com.vaadin.ui.declarative.DesignContext)>->[-1, -1]
<com.vaadin.ui.AbstractComponent: void readDesign(org.jsoup.nodes.Element,com.vaadin.ui.declarative.DesignContext)>->[-1, -1]
<com.vaadin.ui.declarative.DesignAttributeHandler: boolean assignValue(java.lang.Object,java.lang.String,java.lang.String)>->[-1, -1]
<javax.naming.InitialContext: java.lang.Object lookup(javax.naming.Name)>

--- 链 499 ---
<java.time.zone.Ser: void readExternal(java.io.ObjectInput)>->[-1, -1]
<com.vaadin.server.AbstractClientConnector$RpcInvocationHandler: java.lang.Object invoke(java.lang.Object,java.lang.reflect.Method,java.lang.Object[])>->[-1, -1]
<com.vaadin.ui.declarative.DesignAttributeHandler: void writeAttribute(java.lang.Object,java.lang.String,org.jsoup.nodes.Attributes,java.lang.Object)>->[-1, -1]
<com.vaadin.ui.UI: java.lang.String getSessionDetails(com.vaadin.server.VaadinSession)>->[-1, -1]
<com.vaadin.ui.AbstractField: java.lang.String toString()>->[-1, -1]
<com.vaadin.data.util.LegacyPropertyHelper: java.lang.String legacyPropertyToString(com.vaadin.data.Property)>->[-1, -1]
<com.vaadin.data.util.MethodProperty: java.lang.Object getValue()>->[-1, -1]
<com.vaadin.ui.declarative.Design: com.vaadin.ui.declarative.DesignContext designToComponentTree(org.jsoup.nodes.Document,com.vaadin.ui.Component,java.lang.Class)>->[-1, -1]
<com.vaadin.ui.declarative.DesignContext: void readDesign(org.jsoup.nodes.Element,com.vaadin.ui.Component)>->[-1, -1]
<com.vaadin.ui.AbstractEmbedded: void readDesign(org.jsoup.nodes.Element,com.vaadin.ui.declarative.DesignContext)>->[-1, -1]
<com.vaadin.ui.AbstractComponent: void readDesign(org.jsoup.nodes.Element,com.vaadin.ui.declarative.DesignContext)>->[-1, -1]
<com.vaadin.ui.declarative.DesignAttributeHandler: boolean assignValue(java.lang.Object,java.lang.String,java.lang.String)>->[-1, -1]
<javax.naming.InitialContext: java.lang.Object lookup(javax.naming.Name)>

--- 链 500 ---
<javax.management.BadAttributeValueExpException: void readObject(java.io.ObjectInputStream)>->[-1, -1]
<com.vaadin.data.util.PropertysetItem: java.lang.String toString()>->[-1, -1]
<com.vaadin.ui.AbstractSelect: java.lang.Object getValue()>->[-1, -1]
<com.vaadin.data.util.sqlcontainer.SQLContainer: boolean containsId(java.lang.Object)>->[-1, -1]
<com.vaadin.data.util.sqlcontainer.SQLContainer: boolean itemPassesFilters(com.vaadin.data.util.sqlcontainer.RowItem)>->[-1, -1]
<com.vaadin.data.util.filter.Compare: boolean passesFilter(java.lang.Object,com.vaadin.data.Item)>->[-1, -1]
<com.vaadin.data.util.MethodProperty: java.lang.Object getValue()>->[-1, -1]
<com.vaadin.ui.declarative.Design: com.vaadin.ui.declarative.DesignContext designToComponentTree(org.jsoup.nodes.Document,com.vaadin.ui.Component,java.lang.Class)>->[-1, -1]
<com.vaadin.ui.declarative.DesignContext: void readDesign(org.jsoup.nodes.Element,com.vaadin.ui.Component)>->[-1, -1]
<com.vaadin.ui.AbstractEmbedded: void readDesign(org.jsoup.nodes.Element,com.vaadin.ui.declarative.DesignContext)>->[-1, -1]
<com.vaadin.ui.AbstractComponent: void readDesign(org.jsoup.nodes.Element,com.vaadin.ui.declarative.DesignContext)>->[-1, -1]
<com.vaadin.ui.declarative.DesignAttributeHandler: boolean assignValue(java.lang.Object,java.lang.String,java.lang.String)>->[-1, -1]
<javax.naming.InitialContext: java.lang.Object lookup(javax.naming.Name)>

--- 链 501 ---
<java.io.FilePermissionCollection: void readObject(java.io.ObjectInputStream)>->[-1, -1]
<com.vaadin.server.AbstractClientConnector$RpcInvocationHandler: java.lang.Object invoke(java.lang.Object,java.lang.reflect.Method,java.lang.Object[])>->[-1, -1]
<com.vaadin.ui.declarative.DesignAttributeHandler: void writeAttribute(java.lang.Object,java.lang.String,org.jsoup.nodes.Attributes,java.lang.Object)>->[-1, -1]
<com.vaadin.ui.declarative.Design: org.jsoup.nodes.Document createHtml(com.vaadin.ui.declarative.DesignContext)>->[-1, -1]
<com.vaadin.ui.declarative.DesignContext: org.jsoup.nodes.Element createElement(com.vaadin.ui.Component)>->[-1, -1]
<com.vaadin.ui.Grid: void writeDesign(org.jsoup.nodes.Element,com.vaadin.ui.declarative.DesignContext)>->[-1, -1]
<com.vaadin.data.util.MethodProperty: java.lang.Object getValue()>->[-1, -1]
<com.vaadin.ui.declarative.Design: com.vaadin.ui.declarative.DesignContext designToComponentTree(org.jsoup.nodes.Document,com.vaadin.ui.Component,java.lang.Class)>->[-1, -1]
<com.vaadin.ui.declarative.DesignContext: void readDesign(org.jsoup.nodes.Element,com.vaadin.ui.Component)>->[-1, -1]
<com.vaadin.ui.AbstractEmbedded: void readDesign(org.jsoup.nodes.Element,com.vaadin.ui.declarative.DesignContext)>->[-1, -1]
<com.vaadin.ui.AbstractComponent: void readDesign(org.jsoup.nodes.Element,com.vaadin.ui.declarative.DesignContext)>->[-1, -1]
<com.vaadin.ui.declarative.DesignAttributeHandler: boolean assignValue(java.lang.Object,java.lang.String,java.lang.String)>->[-1, -1]
<javax.naming.InitialContext: java.lang.Object lookup(javax.naming.Name)>

--- 链 502 ---
<java.net.SocketPermissionCollection: void readObject(java.io.ObjectInputStream)>->[-1, -1]
<com.vaadin.server.AbstractClientConnector$RpcInvocationHandler: java.lang.Object invoke(java.lang.Object,java.lang.reflect.Method,java.lang.Object[])>->[-1, -1]
<com.vaadin.ui.declarative.DesignAttributeHandler: void writeAttribute(java.lang.Object,java.lang.String,org.jsoup.nodes.Attributes,java.lang.Object)>->[-1, -1]
<com.vaadin.ui.declarative.Design: org.jsoup.nodes.Document createHtml(com.vaadin.ui.declarative.DesignContext)>->[-1, -1]
<com.vaadin.ui.declarative.DesignContext: org.jsoup.nodes.Element createElement(com.vaadin.ui.Component)>->[-1, -1]
<com.vaadin.ui.Grid: void writeDesign(org.jsoup.nodes.Element,com.vaadin.ui.declarative.DesignContext)>->[-1, -1]
<com.vaadin.data.util.MethodProperty: java.lang.Object getValue()>->[-1, -1]
<com.vaadin.ui.declarative.Design: com.vaadin.ui.declarative.DesignContext designToComponentTree(org.jsoup.nodes.Document,com.vaadin.ui.Component,java.lang.Class)>->[-1, -1]
<com.vaadin.ui.declarative.DesignContext: void readDesign(org.jsoup.nodes.Element,com.vaadin.ui.Component)>->[-1, -1]
<com.vaadin.ui.AbstractEmbedded: void readDesign(org.jsoup.nodes.Element,com.vaadin.ui.declarative.DesignContext)>->[-1, -1]
